Camera Start Date,Camera End Date,CameraName,Location Code,Image#,Image Quality,Species,SpeciesCode,# of Individuals,Date,Notes
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0160,3,coyote,CAFA,1,20241212,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0161,3,coyote,CAFA,1,20241212,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0163,3,coyote,CAFA,1,20241212,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0164,3,coyote,CAFA,1,20241212,back leg
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0165,3,unknown,UNK,1,20241212,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0166,2,squirrel,SCIU,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0167,1,squirrel,SCIU,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0169,1,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0170,2,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0171,2,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0172,2,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0173,3,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0174,3,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0175,3,coyote,CAFA,1,20241213,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0181,3,rabbit,RASP,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0182,3,rabbit,RASP,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0183,3,rabbit,RASP,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0184,3,coyote,CAFA,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0185,2,coyote,CAFA,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0186,3,coyote,CAFA,1,20241214,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0187,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0188,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0189,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0190,3,unknown,UNK,1,20241215,back leg
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0193,1,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0194,2,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0195,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0196,1,bird,BIRD,1,20241215,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0197,1,bird,BIRD,1,20241215,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0198,1,bird,BIRD,1,20241215,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0199,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0200,3,coyote,CAFA,1,20241215,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0202,3,coyote,CAFA,1,20241216,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0205,1,squirrel,SCIU,1,20241216,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0208,1,coyote,CAFA,1,20241216,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0209,3,coyote,CAFA,1,20241216,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0211,3,unknown,UNK,1,20241217,Spider?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0212,3,unknown,UNK,1,20241217,Spider?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0214,3,unknown,UNK,1,20241217,Spider?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0217,2,squirrel,SCIU,1,20241217,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0218,2,squirrel,SCIU,1,20241217,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0220,2,coyote,CAFA,1,20241217,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0221,3,coyote,CAFA,1,20241217,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0223,3,coyote,CAFA,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0224,3,coyote,CAFA,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0226,3,coyote,CAFA,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0229,2,squirrel,SCIU,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0230,2,squirrel,SCIU,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0235,3,rabbit,RASP,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0236,3,rabbit,RASP,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0237,3,rabbit,RASP,1,20241218,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0238,3,coyote,CAFA,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0239,3,coyote,CAFA,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0241,2,coyote,CAFA,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0242,3,coyote,CAFA,1,20241219,Tail
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0244,2,squirrel,SCIU,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0247,3,coyote,CAFA,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0250,3,coyote,CAFA,1,20241219,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0253,3,coyote,CAFA,1,20241220,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0256,3,coyote,CAFA,1,20241222,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0257,3,coyote,CAFA,1,20241222,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0258,3,squirrel,SCIU,1,20241222,Tail
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0262,2,squirrel,SCIU,1,20241222,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0265,1,bird,BIRD,1,20241222,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0266,1,bird,BIRD,1,20241222,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0267,1,bird,BIRD,1,20241222,Great Egrit?
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0268,3,coyote,CAFA,1,20241222,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0271,3,coyote,CAFA,1,20241223,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0272,3,coyote,CAFA,1,20241223,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0273,3,coyote,CAFA,1,20241223,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0274,3,coyote,CAFA,1,20241223,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0277,3,rabbit,RASP,1,20241224,Haze
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0278,3,rabbit,RASP,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0280,2,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0281,2,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0282,3,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0284,3,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0285,3,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0286,2,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0287,3,coyote,CAFA,1,20241224,Tail
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0289,3,coyote,CAFA,1,20241224,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0292,3,rabbit,RASP,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0295,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0296,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0298,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0299,3,unknown,UNK,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0301,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0302,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0303,2,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0304,2,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0305,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0306,3,coyote,CAFA,1,20241225,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0307,2,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0308,2,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0309,3,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0310,2,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0311,2,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0312,3,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0313,2,coyote,CAFA,2,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0314,2,coyote,CAFA,2,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0315,2,coyote,CAFA,2,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0316,3,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0317,3,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0319,2,coyote,CAFA,1,20241226,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0321,3,coyote,CAFA,1,20241226,Head on left
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0322,3,coyote,CAFA,2,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0323,3,coyote,CAFA,2,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0324,3,coyote,CAFA,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0325,2,coyote,CAFA,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0326,2,coyote,CAFA,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0327,3,coyote,CAFA,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0328,1,bird,BIRD,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0329,2,bird,BIRD,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0330,1,bird,BIRD,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0331,2,bird,BIRD,1,20241227,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0334,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0335,3,coyote,CAFA,1,20241228,Tail on left
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0337,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0338,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0339,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0340,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0341,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0342,3,coyote,CAFA,1,20241228,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0343,2,coyote,CAFA,1,20241229,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0344,2,coyote,CAFA,1,20241229,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0345,3,coyote,CAFA,1,20241229,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0346,2,coyote,CAFA,1,20241230,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0347,2,coyote,CAFA,1,20241230,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0348,2,coyote,CAFA,1,20241230,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0349,2,coyote,CAFA,1,20241230,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0352,3,coyote,CAFA,1,20241231,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0353,3,coyote,CAFA,1,20241231,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0354,3,coyote,CAFA,1,20250101,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0356,3,coyote,CAFA,2,20250101,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0357,3,coyote,CAFA,2,20250101,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0358,2,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0359,3,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0360,3,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0361,1,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0362,2,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0363,3,coyote,CAFA,1,20250102,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0364,1,bird,BIRD,1,20250103,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0365,1,bird,BIRD,1,20250103,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0366,1,bird,BIRD,1,20250103,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0367,1,bird,BIRD,1,20250103,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0368,1,bird,BIRD,1,20250103,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0369,3,bird,BIRD,1,20250103,Feather on left
